page,section_index,heading,word_count,preview
"exhibits/exhibit-i.html",18,"Evidence",59,"Thank you for all your amazing work!                                              Senior Learning Pr"
"exhibits/exhibit-i.html",19,"Quantitative Scale",67,"The Enterprise Accessibility Initiative peaked in 2022 with 479 accessibility-related emails out of "
"exhibits/exhibit-i.html",20,"Findings",147,"Section 7                 Findings                  Significance                 Dan did not simply "
"exhibits/exhibit-i.html",21,"Significance",143,"Dan did not simply test for accessibility compliance — he invented the testing practice. The challen"
"exhibits/exhibit-j.html",0,"INVESTIGATION REPORT",45,"INVESTIGATION REPORT             GM Learning Portal — Course Completion Anomaly                     "
"exhibits/exhibit-j.html",1,"INVESTIGATION REPORT",43,"GM Learning Portal — Course Completion Anomaly Client: General Motors                 Platform: Ente"
"exhibits/exhibit-j.html",2,"[section 2]",129,"1.                 Background                                           General Motors reported that"
"exhibits/exhibit-j.html",3,"[section 3]",40,"2.                 Personnel Involved                                                               "
"exhibits/exhibit-j.html",4,"[section 4]",353,"3.                 Sequence of Events                                                               "
"exhibits/exhibit-j.html",5,"[section 5]",227,"4.                 Findings — Five System Failures                          The investigation identi"
"exhibits/exhibit-j.html",6,"[section 6]",118,"5.                 Probable Cause                                            The investigation deter"
"exhibits/exhibit-j.html",7,"[section 7]",136,"6.                 Outcome & Validation                                           The comprehensive "
"exhibits/exhibit-k.html",0,"INVESTIGATION REPORT",40,"INVESTIGATION REPORT             Microsoft MCAPS — AI-Led Training Agent                            "
"exhibits/exhibit-k.html",1,"INVESTIGATION REPORT",38,"Microsoft MCAPS — AI-Led Training Agent Client: Microsoft (MCAPS — sales/partner organization)      "
"exhibits/exhibit-k.html",2,"[section 2]",168,"1.                 Background                                           Microsoft MCAPS (their sales"
"exhibits/exhibit-k.html",3,"[section 3]",101,"1b.                 Personnel                                                                       "
"exhibits/exhibit-k.html",4,"[section 4]",107,"2.                 The Prompt Engineering Ceiling                                           The core"
"exhibits/exhibit-k.html",5,"[section 5]",130,"3.                 The Hybrid Architecture                                           The breakthroug"
"exhibits/exhibit-k.html",6,"[section 6]",99,"4.                 Implementation                                                                   "
"exhibits/exhibit-k.html",7,"[section 7]",162,"5.                 Outcome                                           Functional proof of concept del"
"exhibits/exhibit-l.html",0,"INVESTIGATION REPORT",35,"INVESTIGATION REPORT             Power Platform Architecture Audit                              Cont"
"exhibits/exhibit-l.html",1,"INVESTIGATION REPORT",33,"Power Platform Architecture Audit Context: Internal ERP modernization                 Platform: Micr"
"exhibits/exhibit-l.html",2,"[section 2]",195,"1.                 Background                                           The organization initiated a"
"exhibits/exhibit-l.html",3,"[section 3]",84,"2.                 The Requirements Degradation Chain                                           Requ"
"exhibits/exhibit-l.html",4,"[section 4]",117,"3.                 Forensic Methodology                                           Dan had a hunch so"
"exhibits/exhibit-l.html",5,"[section 5]",201,"4.                 Findings                          Five foundational gaps identified — problems so"
"exhibits/exhibit-l.html",6,"[section 6]",198,"5.                 Probable Cause                                            The project did not fai"
